force_capacity_MPa,nc_dx_m,ltp_dy_m,rtp_dy_m,nc_cx_m,rtp_dx_m,time_per_step_s
0.0,-7.526906559797631e-10,3.9161861656311636e-07,3.687652414159637e-07,9.999247309344021e-06,4.858011770636494e-10,0.646320104598999
0.07142857142857144,6.349990574266388e-07,2.2799629559311363e-07,2.1924286291649664e-07,1.063424636677066e-05,6.335448092253948e-07,0.5649881362915039
0.14285714285714288,1.0002739674714548e-06,1.5024412501271622e-07,1.6053944483160332e-07,1.1634520334242115e-05,9.984439111598853e-07,0.4970548152923584
0.21428571428571427,1.4889050509715685e-06,2.0678216082134493e-07,2.243298198971455e-07,1.3123425385213683e-05,1.4861374937197303e-06,0.5495798587799072
0.28571428571428575,2.046450058514667e-06,4.0496504470285966e-07,4.2958333798526205e-07,1.516987544372835e-05,2.0359039682865676e-06,0.48050379753112793
0.31498400000000526,2.918154554014461e-05,-2.740553843973842e-05,1.5605783330874257e-07,4.435142098387296e-05,-1.8006175613038966e-07,1.1990594863891602
0.3149840000000051,1.3205717111365969e-05,1.5061239135073096e-05,1.2307405750783262e-08,5.755713809523893e-05,-1.6913746249402895e-07,0.7098433971405029
0.3149840000000052,1.2268386105243655e-05,9.024863274025019e-07,-7.128156846031297e-09,6.982552420048258e-05,-1.465925190125006e-07,0.781184196472168
0.3149840000000052,1.2068756841541268e-05,1.6038803200835172e-07,1.1306883104106324e-07,8.189428104202385e-05,-2.675155492265491e-07,0.7961771488189697
0.31498400000000526,9.212209096339235e-06,2.652684118680665e-06,5.417493171427923e-08,9.110649013836309e-05,-3.0277385319743555e-07,0.680579662322998
0.31498400000000487,7.3438859011646426e-06,1.8263779123263435e-06,-5.6671039531247525e-08,9.845037603952773e-05,-2.5388116654812e-07,0.6651895046234131
0.314984000000005,8.034138118977706e-06,-6.627602233306995e-07,-7.34866257186273e-08,0.00010648451415850544,-1.9659004478478348e-07,0.6785447597503662
